;id;afavor;n;total;trimestre;perc_governismo
0;162881;336.0;420.0;80.0;2023-03-31;67.0
1;166385;403.0;472.0;85.0;2023-03-31;
2;166828;393.0;468.0;84.0;2023-03-31;100.0
3;169871;624.0;634.0;98.0;2023-03-31;100.0
4;172442;397.0;427.0;93.0;2023-03-31;100.0
5;173433;533.0;542.0;98.0;2023-03-31;100.0
6;173441;361.0;447.0;81.0;2023-03-31;75.0
7;173486;417.0;489.0;85.0;2023-03-31;80.0
8;173531;426.0;521.0;82.0;2023-03-31;57.0
9;173579;146.0;560.0;26.0;2023-03-31;38.0
10;173604;526.0;552.0;95.0;2023-03-31;100.0
11;173692;113.0;465.0;24.0;2023-03-31;50.0
12;173701;464.0;472.0;98.0;2023-03-31;100.0
13;173768;389.0;540.0;72.0;2023-03-31;100.0
14;173778;360.0;432.0;83.0;2023-03-31;
15;173788;69.0;87.0;79.0;2023-03-31;
16;173801;592.0;608.0;97.0;2023-03-31;100.0
17;174041;714.0;728.0;98.0;2023-03-31;100.0
18;174043;109.0;364.0;30.0;2023-03-31;60.0
19;174044;361.0;413.0;87.0;2023-03-31;80.0
20;174057;583.0;599.0;97.0;2023-03-31;100.0
21;174060;500.0;514.0;97.0;2023-03-31;100.0
22;174075;331.0;337.0;98.0;2023-03-31;100.0
23;174079;300.0;334.0;90.0;2023-03-31;100.0
24;174084;401.0;578.0;69.0;2023-03-31;100.0
25;174090;376.0;416.0;90.0;2023-03-31;100.0
26;174095;212.0;256.0;83.0;2023-03-31;
27;174141;516.0;528.0;98.0;2023-03-31;100.0
28;174156;481.0;493.0;98.0;2023-03-31;100.0
29;174158;383.0;416.0;92.0;2023-03-31;100.0
30;174159;553.0;568.0;97.0;2023-03-31;100.0
31;174160;568.0;585.0;97.0;2023-03-31;100.0
32;174161;374.0;383.0;98.0;2023-03-31;
33;174171;558.0;665.0;84.0;2023-03-31;63.0
34;174253;350.0;399.0;88.0;2023-03-31;100.0
35;174262;303.0;507.0;60.0;2023-03-31;75.0
36;174270;78.0;123.0;63.0;2023-03-31;
37;174273;143.0;520.0;28.0;2023-03-31;50.0
38;174283;516.0;525.0;98.0;2023-03-31;100.0
39;174299;332.0;358.0;93.0;2023-03-31;88.0
40;174317;387.0;440.0;88.0;2023-03-31;71.0
41;174356;286.0;355.0;81.0;2023-03-31;100.0
42;174371;452.0;457.0;99.0;2023-03-31;100.0
